SSec_Code,SSec_Name_E
011414,Sooq El Selah
011501,El Ramly
011502,El Sheikh Nada - Darb Mustafa Prev
011503,El Tamar
011504,El Ashmawy
011505,El Lewaa Amin El Shereif - Darb El Mahabel Prev
011506,El Manasra
011507,El Nouby
011508,Darb El Genena
011509,Safy El Dine
011510,Kom El Shaikh Salama
011601,El Balaqsa
011602,
011603,El Dwaween
011604,El Saha
011605,El Saqaien
011606,El Sheikh Abd Allah
011607,El Fawala
011608,Bab El Louk
011609,Rahbet Abdeen
011610,Ghait El Adaa
011701,El Ismailia
011702,Garden City
011703,Qasr El Dobara
011704,Marouf
011801,Abo El Fada
011802,El Gabalaia
011803,Omar El Khaiam
011804,Mohamed Mazhar
011901,Abo El Ela
011902,El Ahmadine
011903,El Torgoman
011904,El Galadine
011905,El Gawaber
011906,El Khateery
011907,El Sabtia
011908,
011909,El Sheikh Ali
011910,El Shaikh Farag
011911,El Adawaia
011912,El Olemy - El Faransawy Prev
011913,El Alaya
011914,Hod El Zehour
011915,Darb Nasr
011916,Sanan Basha
011917,Souq El Asr
011918,Sharkas
011919,Ashash El Nakhl
012001,El Gaiara
012002,
012003,El Zahar
012004,El Fagala
012005,El Kabilaya
012006,El Olaly
012007,Orabi - El Tawfeqia Prev
012008,Klot Bik
012101,El Banhawy
012102,El Shembky
012103,El Sawby
012104,El Adawy
012105,El Mansy
012106,El Nasr
012107,Bab El Bahr
012108,Bab El Sharia
012109,Berket El Ratly
012110,Darb El Akmaia
012111,Sedy Madien
012201,El Azhar
012202,El Beer Kodar
012203,El Gamalaia
012204,El Hamzawy
012205,El Khoranfesh
012206,El Khwas
012207,El Darasa
012208,El Shearany
012209,El Atoof
012210,El Kordi
012211,El Mashd El Hoseny
012212,El Mansoria
012213,Bab El Fotoh
012214,Bin El Soreen
012215,Gawhar El Kaed - El Yahood El Roban Previous
012216,Khan El Khlily
012217,Qasr El Shook
012301,Abo Khoda
012302,El Ganzory
012303,El Sakakeny
012304,El Zaher
012305,El Kebasy
012306,Ghamra
012401,El Demerdash
012402,El Zafaran
012403,El Saraiat
012404,
012405,
012406,
012407,
012408,
012409,Bain El Ganaien
012410,
012411,
012412,Kobry El Koba
012501,El Hadaaek
012502,El Khasa
012503,El Kobaa
012504,El Waily El Kabeir Shark
012505,El Waily El Kabeir Gharb
012506,Hadaeik El Koba
012507,
012508,Mansheyet El Sadr
012601,El Shrabia
012602,El Azab
012603,El Zawia El Hamra El Balad
012604,Mahmasha
012701,
012702,El Shamashergy
012703,El Atar
012704,Gesr Shubra
012801,Ibn El Rashid
012802,El Mabyada
012803,Gaziret Badran
012804,Rod El Farg El Balad
012805,Toson
012806,Qosor El Shawam
012901,Asaad
012902,El Barad
012903,El Khazendara
012904,El Sahel
012905,Borham
012906,Shrief
012907,Manih El Serg
013001,El Zawya El Hamraa Masken
013002,El Ameria El Balad
013101,
013102,
013103,
013104,Nasser
013105,
013106,Morsy Khalil El Gadeda
013107,El Qafaseen
013108,Masaken El Saudia
013201,El Zayton El Baharaia
013202,El Zayton El Qablaia
013203,El Zayton El Sharkaia
013204,El Zayton El Gharbaia
013301,El Azab
013302,
013303,
013304,
013305,Shagret Mariem
013306,Arab Abo Tawila
013307,Arab El Hesn
013308,Ain Shams El Gharbaia
013309,
013401,
013402,Helmeit El Zaiton
013403,Helmeit El Naam
013404,Tolembat Ain Shamas
013405,Ain Shamas El Sharkaia
013406,Mansheyet El Tahrer
013501,El Marg El Baharea
013502,El Marg El Kablaya
013503,Berket El Hag
013504,
013505,Kafr Abu Seer - Berket El Nasr
013506,Kafr El Basha
013507,Kafr El Shorafa
013601,El Salam El Sharkaia
013602,El Salam El Gharbaia
013603,
013701,
013702,
013703,
013704,
013705,
013801,El Nozhah
013802,El Haykestab
013803,El Matar
013804,Sheraton El Matar
013901,El Bostan
013902,Almaza
013903,El Montaza
013904,Manshyet El Bakry
014001,El Tawfek
014002,El Sharekat
014003,El Golf
014004,El Nady El Ahly
014005,
014006,
014007,El Hay El Asher
014008,El Manteka El Ola
014009,
014010,
014011,
014012,
014013,
014014,
014015,
014016,
014017,Masaken El Mohandesen
014018,El Cinema area
014019,El Zahraa
014101,El Hay El Sabea
014102,El Hay El Sades
014103,El Astad
014104,El Sarayat El Sharqia
014105,Gameat El Azhar
014106,Ezbet El Arab
014107,Nady El Saka El Haded
014201,El tagamoa El khames
014202,El Narges El Mostathmereen El Ganobia
014203,
014204,
014301,
014302,
014303,
014401,El Qatamia
014402,eskan mubarak
014403,El Ansheta
014404,
014405,El Andalous
014501,el sherouk1
014502,el sherouk2
014503,Madient El Dobaat
014601,Badr 1
014602,
014603,El Hay El Thany & Manteqet El Emtedad El Mostaqbaly
014604,
014605,El Hay El Rabea
014606,El Hay El Motamayez
014607,
014608,
019999,
020101,El Tawfiqeyah
020102,El Siouf Bahary
020103,
020104,El Qerdahy
020105,
020106,El Mohagrein
020107,Khorshed El Baharia
020108,Sedi Beshr Bahary
020109,Sayedy Beshr El Qably
020201,El Mandarah Bahary
020202,El Mandara Qably
020204,El Amrawy
020205,El Nasereyah
020206,Tolombat El Tabia
020208,Abo Kear El Gharbaia
020301,El Qaasy Bahary
020302,Zoarobanah
020303,Bakos
020304,San Stefano
020305,Fleming
020401,Abes El Thania
020402,El Zahria
020403,El Qassy Qebly
020404,El Mahrosa
020405,Hagar El Nawatia
020406,Khorshed
020407,
020408,Dana
020501,Abo El Nwater
020502,El Rayada
020503,Seedy Gaber
020504,
020505,Ezbet Saad
020506,
020601,
020602,
020603,El Azareta & El Shatby
020604,
020605,
020606,Ezbet El Gameaa
020701,
020702,El Ataren Shark
020703,El Ataren Gharb
020704,
020705,El Mesala Shark
020706,El Mesala Gharb - Sherif Basha
020707,Kom El Daka Shark
020708,Kom El Daka Gharb
020801,El Bab El Gidid Shark
020802,El Bab El Gidid Gharb And Mansha
020803,
020804,Ambrouz
020805,
020806,Ragheb Basha
020807,Abes 7.8.10
020901,
020902,Bab Sedrah El Barany Sharq
020903,Bab Sedrah El Barany Gharb
020905,Gamea Soltan
020906,Ghait El Enab Shark
020907,Ghait El Enab Gharb
020908,Karmouz Shark
020909,Karmouz Gharb
020910,Nobar
020911,
021001,El Godd & El Laban - El Warsha
021002,
021003,
021004,
021005,
021006,El Sabora
021007,El Naga El Gidid
021008,El Naga El Kadeim
021009,
021011,
021012,Souq El Gomaah & El Monir
021013,Meshmsh El Basal
021101,
021102,El Hamameil
021103,Souq El Barseim
021104,El Magharia & Souq El Tork
021201,Abo Shosha
021202,El Berkah
021203,El Balkatria
021204,El Tarmazaia
021205,
021206,
021208,El Saiala Gharb
021209,El Shamarly & Zawyet El Aarag
021210,El Saiaden
021211,El Mazar
021212,
021213,
021214,Ras El Tein
021215,
021216,Zawiet Khatab
021217,Souq El Samak El Kadeim
021218,Sefr Basha
021219,Kabw El Malah
021301,
021401,
021402,El Amoud - Amoud El Sawary
021403,El Metras - Um Kebeba
021404,El Qabary Sharq
021405,El Wardian Shark
021406,El Wardian Gharb
021407,
021408,Koum El Shoqafa Gharb
021409,El Mafrouza
021410,El Qabary Gharb
021411,Tabeit Saleh
021412,Koum El Shoqafa Sharq
021503,El Dakhila
021504,
021505,El Meks
021601,El Amraia Shark
021602,El Amraia Gharb
021603,El Zeraa El Bahary
021604,El Agamy El Qablaia - Um Zaghuo
021606,Zawiet Abd El Kader
021607,El Metras - Um Kebeba
021609,Merghem
021701,Kingy Mariout
021702,El Hawaria
021705,
021801,Borg El Arab City
021802,Abo Seer
021803,El Gewra
021804,El Zeraa El Bahary
021805,El Snaqra
021806,El Gharbaniat
021807,Bahig
021808,Hemlis
021809,El Nahda
021901,
022001,Manteqet El Sahel E Shamaly
029999,
030101,Ibrahim Hasanen - El Afrang Sharq Prev
030102,Mustafa Hamza - El Afrang Gharb Prev
030201,Abo El Hassan
030202,El Tawfeqy
030203,El Abasy
030204,El Azab
030205,El Montazha Saad A
030301,El Galah
030302,El Saray
030303,El Manakh
030304,Adly
030401,El Salam
030402,El Qaboty
030403,Bank El Eskan
030501,El Zehour
030601,El Manasra
030701,
030801,
030901,Portfoaud City
031001,Than Portfoaud
031101,Mubarak - Sharq El Tafreah
031201,
040101,Sheiakha Ola
040102,
040201,
040202,
040301,
040302,
040303,El Atka
040304,El Adabia
040305,El Hadaid
040306,El Sadat
040307,Agrud
040308,
040309,Ghebet El Bous & Deer Odeeb
040310,
040311,
040401,
040501,
040601,
049999,Surrounded By Desert To Suez Governorate
110101,Sheiakha Ola
110102,Sheyakhet Than
110201,Sheyakha Thaleth
110202,Sheyakhet Rabea
110301,
110302,El Bostan & Kafr Tabekha
110303,El Khalifeyah
110304,El Senaneyah
110305,El Adlaia
110306,El Ananeyah
110307,Awlad Hamam
110308,Shata
110309,Shat El Kheyatah
110310,Shat El Shoara
110311,Shat El Sheikh Dorgham
110312,Shat Garibah
110313,Shat Izbet El Lahm
110314,Shat Gheit El Nadara
110315,Shat Moheb & El Sayala
110316,Ezab El Basartah
110317,Ezab El Nahdah
110401,Faraskour City
110402,
110403,El Arbeen
110404,El Barasheyah
110405,El Horany
110406,El Rahamnah
110407,El Salmeyah
110408,El Dahrah
110409,El Tarhah
110410,El Abideyah
110411,El Azazma
110412,El Atwy
110413,El Ghanimeyah
110414,El Ghawabin
110415,El Nasereyah
110416,Abo Garidah
110417,El Nagarin
110418,Awlad Khalaf
110419,Hegaga
110420,Sherbas
110421,Kafr El Shenawy
110422,Kafr El Arab
110423,Monshaet Karam & Rozoq
110424,Meet El Sheyoukh
110425,Kafr El Ghawaben
110501,El Zarqa City
110502,El Sarw City
110503,El Zatrah
110504,El Salam
110505,El Kashef El Gadidah
110506,Daqahlah
110507,Seif El Din
110508,Sharmasah
110509,Kafr El Mayasra
110510,Kafr Toqa
110511,Meet El Kholy Abd Ellah
110512,El Baz
110601,Kafr Saad City
110602,Meet Abu Ghaleb City
110603,Abu Ayad
110604,El Ismailia
110605,
110606,
110607,El Badrawy
110608,El Tawfiqeyah
110609,El Dahayma
110610,El Zahraa
110611,
110612,
110613,El Sawalem
110614,El Abasia
110615,El Mohamadia
110616,Dar El Salam
110617,Um El Rezq
110618,Kafr Saad El Balad
110619,Kafr El Morabein El Sharqeyah
110620,Kafr El Manazlah
110621,Kafr El Wostany
110622,Kafr Soliman El Bahary
110623,Kfour El Ghab - Belqas Qesm 2Nd Previous
110624,Kofour Shehata
110625,Monshaet Naser
110626,El Hesenia
110627,Abu Rashed
110628,El Nawasria
110629,El Louzy
110630,Taftesh Than
110701,Kafr El Batekh City
110702,El Basateen
110703,El Sawahel
110704,El Reyad
110705,Koheel
110706,Um El Reda
110707,Um El Reda El Gededa
110708,El Rakabeyah
110709,Gamasa
110801,
110901,New Domiat Port
111001,Ras El Bar City
119999,Surrounded By Desert To Domiat Governorate
120101,Qesm Awal Meet Talkha
120102,Qesm Than El Hewar
120103,Qesm Thaleth Rehan
120104,Qesm Rabea El Nagar
120105,Sandoub & Kafr El Manasrah
120201,Qesm Khames Siyam
120202,Qesm Sades Meet Hedr
120203,Qesm 7th El Baher El Sagher
120204,Qesm El Mansouria - Taweel Prev
120205,Qesm Kafr El Badmas
120206,Gadela
120207,Kolengel
120301,El Badelah
120302,El Baramon
120303,El Baqleyah
120304,El Bandera
120305,El Hawawshah
120306,El Khelig
120307,El Kheyareyah
120308,El Danabiq
120309,El Raydaneyah
120310,El Zamar
120311,El Malhah
120312,El Nozhah
120313,El Nasimeyah
120314,Awish El Hagar
120315,Bahqirah
120316,Bedway
120317,Badin
120318,Barq El Ezz
120319,Belgay
120320,Telbana
120321,
120322,Gemeizet Belgay
120323,Dabo Awam
120324,Salamon
120325,Selka
120326,Salalant
120327,Shawh
120328,Shubra Badin
120329,Shaha
120330,Taranis El Bahr
120331,Tanah
120332,New Karam
120333,Kafr El Amshoty
120334,Kafr El Baramon
120335,Kafr El Shenhab
120336,Kafr Bedway El Gadid
120337,Kafr Bedway El Qadim
120338,Kafr Nelbanah
120339,Kafr Tanah
120340,Kafr Mit Fatek
120341,Koum El Darby
120342,Koum Bani Marasy
120343,Menyet Bedway
120344,Menyet Sandoub
120345,Meet El Akrad
120346,Meet El Sarem
120347,Meet Badr Khamis
120348,Meet Garah
120349,
120350,Meet Khayroun
120351,Meet Azoun
120352,Meet Ali
120353,Meet Awam
120354,Meet Lozah
120355,Meet Mahmoud
120356,Meet Mezah
120357,Neqeitah
120358,Magar
120359,Kafr Abu Shawareb
120360,Naseem 2
120401,Aga City
120402,Abu Dawoud El Enab
120403,Akhtab
120404,El Enshasia
120405,
120406,El Bahow Frik
120407,El Dayr
120408,
120409,El Sabkha
120410,El Salameyah
120411,El Gharaqah
120412,El Karama
120413,El Mandarah
120414,Borg Nour El Hams
120415,Baqtares
120416,Talbant Aga
120417,Garah
120418,Gelmowah
120419,Daroh
120420,Deyarb Baqtares
120421,Samahah
120422,Sanbakht
120423,Sangid
120424,Shubra El Bahw
120425,Shabrawish
120426,Shensha
120427,Shenfas
120428,Shenisah
120429,
120430,
120431,
120432,
120433,Tanamel El Gharby
120434,Ezab El Arab
120435,Feshabnba
120436,Qarmout El Bahw
120437,
120438,Kafr El Mandarah
120439,Kafr El Negba
120440,Kafr Dyarb Boqtares
120441,Kafr Awad El Seneitah
120442,
120443,Monshaet El Baqly
120444,Monshaet Abd El Nabi
120445,Monshaet Mansour
120446,Menyet Samanoud
120447,
120448,Meet Abu El Hussein
120449,Meet Eshna
120450,Meet El Amel
120451,
120452,Meet Fadalah
120453,Meet Masoud
120454,Meet Meaned
120455,Nawasa El Bahr
120456,Nawasa El Gheit
120457,Abu Zaid
120458,El Salam
120501,Meet Ghamr City
120601,Atmedah
120602,El Boha
120603,El Hakemeyah
120604,El Dionia
120605,El Rahmanaia
120606,El Qation
120607,El Maasarah &Koforha
120608,Awlilah
120609,Bashalosh
120610,Beshla
120611,Bahidah
120612,Tafahna El Ashraf
120613,Gasfa
120614,Damas
120615,
120616,Serenga
120617,Senbo Maqam
120618,Sentmay
120619,Senfa
120620,
120621,Kafr Ibrahim Youssef
120622,Kafr Abu El Eznin
120623,Kafr Abu Nabhan
120624,Kafr El Gohari
120625,Kafr El Hegazi
120626,Kafr El Sharaqwah
120627,Kafr El Shahid
120628,Kafr El Sheikh
120629,Kafr El Mohamadeyah
120630,Kafr El Meqdam
120631,Kafr El Naim
120632,Kafr El Wazir
120633,Kafr Barbari Solayman
120634,Kafr Dawoud Matar
120635,Kafr Roshdi
120636,Kafr Serenga
120637,Kafr Soliman Tadros
120638,Kafr Sharaf
120639,Kafr Ata Allah Solayman
120640,Kafr Ali Abd Allah
120641,Kafr Mit El Ezz
120642,Kafr Noeman
120643,Kafr Beheda
120644,Kfour El Bahaytah
120645,
120646,Meet Abu Khaled & Kafr Ali Badra
120647,Meet El Aaz
120648,Meet El Faramawi
120649,Meet El Qershi
120650,Meet Mohsen
120651,Meet Nagi
120652,
120653,Hela
120701,El Sinbelawayn City
120702,Abu Qarameet
120703,El Orman
120704,El Beshnety
120705,El Bakareyah
120706,El Belamon
120707,El Temd El Hagar
120708,El Gelaylah
120709,El Hagayzah
120710,El Hasaina
120711,El Haswah
120712,El Ramzia
120713,El Rawdah
120714,El Zoreiqi
120715,El Zahayrah
120716,El Salam - Kafr Tanboul El Geded Prev
120717,El Shaalah
120718,Kafr El Azawi
120719,El Fath
120720,El Matouh
120721,El Makhzan
120722,El Moqateah
120723,
120724,Borg Nour El Arab
120725,Barqin
120726,Barhemtoush
120727,Bashmas
120728,Deyo El Wosta
120729,Shubra Sendy
120730,Shubra Qebalah
120731,Shubra Hor
120732,Taranis El Arab
120733,Tamay El Zahayrah
120734,Tenbaraha
120735,Tanboul El Kobra
120736,Tahway
120737,Tokh El Aqlam
120738,Ghazalah
120739,Qarqirah
120740,Kafr El Hag Azab
120741,Kafr El Rok
120742,Kafr El Shorafa
120743,Kafr El Shahid Mustafa Hamouda
120744,Kafr El Anania
120745,Kafr Badawi Gerges
120746,Kafr Bani Salem
120747,Kafr Saad
120748,Kafr Salamah
120749,Kafr Shubra Hor
120750,Kafr Tanboul El Qadim
120751,
120752,Kafr Azam
120753,Kafr Ghanam
120754,Kafr Qonsowah
120755,Kafr Mohamed El Shenawi
120756,Kafr Mit Ghorab
120757,Kafr Yousef Awad
120758,Monshaet Ezzat
120759,Monshaet Helal
120760,Monshaet Reda
120761,Meet Ghorab
120762,Meet Ghereta
120763,Nob Tarif
120764,Mubarak
120765,El Fanan
120766,El Sersy
120767,Saad El Deen
120768,
120801,Tama El Amded City - Ezbty Asem & Afify
120802,Abu Dawoud
120803,El Beida
120804,El Khamsah
120805,El Rabea
120806,El Saudia
120807,El Samarah
120808,El Safa - Ghoror Prev
120809,
120810,El Kamal
120811,El Mehey
120812,Tag El Ezz
120813,Abo El Sir
120814,Zefr
120815,Sadqa
120816,Kafr El Amir Abd Allah
120817,Kafr Sengab
120818,Monshaet El Maalouh
120819,Monshaet Sabry
120820,Mansheyat El Salam
120821,Mansheyat El Shorafa
120822,Mansheyet El Gharby
120823,El Fath El Gededa
120901,Bani Ebid City
120902,Abu El Maaty El Baz
120903,El Hadadah
120904,El Disah
120905,El Zohairy
120906,El Salahat
120907,El Yousefia
120908,Deyarb El Khodr
120909,Tolombat Bani Ebied
120910,Kafr El Selahat
120911,Kafr Mit Fares
120912,Mubarak
120913,Monshaet Mosbeh
120914,Meet Sewed
120915,Meet Adlan
120916,Meet Fares & Kafraha
121001,
121002,El Nasra
121003,Kafer El Elo
121004,Kafr Safan
121005,New Mubarak
121006,Monshat El Salam
121007,
121101,Dekernes City
121102,Ashmoun El Roman
121103,El Bashmour
121104,El Horaia
121105,El Khashashnah
121106,El Rabieah
121107,El Salam
121108,El Azazna
121109,El Qebab As - Soghra
121110,El Qebab El Kobra
121111,El Qalobia
121112,El Kormaa
121113,El Karma El Gededa
121114,El Mahmoudeyah
121115,El Marsah
121116,
121117,Hamada
121118,
121119,Damo - Damo El Sebakh Sabeqa
121120,Demshelt
121121,Kafr Abu Ali
121122,Kafr Abo Naser
121123,Kafr El Baz
121124,Kafr El Zahayrah
121125,Kafr El Qebab
121126,
121127,Monshaet Abd El Rahman
121128,Meet El Soudan
121129,Meet El Nahal
121130,Meet Saadan
121131,Meet Sharaf
121132,Meet Dafer
121133,Meet Tarif
121134,Nagir & Mit Shadad
121135,Abu Taha
121136,Nasser
121201,
121202,El Baglat
121203,El Geneinah
121204,El Hamideyah
121205,El Khodeery
121206,El Reyad
121207,El Nazl
121208,Brembel El Gadidah
121209,Brembel El Qadimah
121210,Kafr Abu Zekry
121211,Kafr Allam
121212,Kafr Qanish
121213,Monshaet El Gamal
121214,Monshaet Assem
121215,Monshaet Mubarak
121216,Meet Tamamah
121217,Meet Hadid
121218,Meet Asem
121219,Ghoneem Shata
121220,El Washayha
121221,El Salam
121301,Ahmed Foda Mohamaden
121302,Farouk El Debs
121303,Mohamaden El Tantawy El Sayed
121305,Medhat Abu El Saud Ali Hassanen
121306,Mahmoud Hassan Ibrahim
121307,Saif El Yazal Ahmed Yousef
121308,Mahmoud Abu El Farag El Sayed
121309,Ezbet El Rafeey
121401,Meet Selseel City
121402,El Gawaber
121403,El Etehad
121404,El Kafr El Gadid
121405,El Gaadfrah
121501,
121502,El Mahalawy
121503,El Hesha
121504,Mubarak
121505,Meet Marga Selsil
121506,
121601,
121602,El Ahmadeyah
121603,El Basaylah
121604,El Basrat
121605,El Gamamlah
121606,El Houty
121607,El Khalayfah
121608,El Daqanwah
121609,El Rodah
121610,El Sataytah
121611,El Sharifeyah
121612,El Shaboul
121613,El Amrah
121614,El Eryan
121615,El Azizah
121616,El Amarnah
121617,El Frosat
121618,El Qazaqzah
121619,El Qatshah
121620,El Mawaged
121621,El Nasaymah
121622,El Hanaydah
121623,Awlad Banah
121624,Awlad Hanah
121625,Awlad Serag
121626,Awlad Alam
121627,Awlad Nasser
121628,Awlad Nour
121629,Bany Helal
121630,
121631,Dar El Salam - El Qatayla Prev
121632,
121633,Kafr Hagag
121634,Meet Khodeir
121635,Meet Sharif
121636,
121701,
121702,El Dahir
121703,El Asafrah
121704,Awlad Sabour
121801,sherben City
121802,Abu Galal
121803,El Ahmadeyah
121804,El Hesas
121805,El Saadia
121806,El Salam
121807,El Shenawi
121808,El Sabreyah
121809,El Dahreyah
121810,El Awadeyah
121811,El Eyadeyah
121812,Bosat Karim El Din
121813,Tirat Ghoneim
121814,Denjoway
121815,Raas El Khaleg
121816,
121817,Kafr El Atrash
121818,
121819,Kafr El Teerah
121820,Kafr El Hajj Sherbini
121821,Kafr El Hatabah
121822,Kafr El Dabousi
121823,Kafr El Sheikh Ateyah
121824,Kafr El Wakalah
121825,Kafr Monshaet El Nasr
121826,Kafr Youssef
121827,Mahalet Enshaq
121901,
122001,Talkha City
122002,El Rawdah
122003,El Tawela
122004,El Minyal
122005,Orman Talkha
122006,Besat
122007,Batrah
122008,Gogar
122009,Dar El Salam - Shernqash Prev
122010,Demeirah
122011,Daysat
122012,
122013,Kafr El Khozam
122014,Kafr El Tawilah
122015,Kafr El Arab
122016,Kafr El Qasali
122017,Kafr Besat
122018,Kafr Demera El Geded
122019,Kafr Demeirah El Qadim
122020,Kfour El Arab
122021,Monshat El Badawi
122022,Meet El Kormaa
122023,Meet Zonqor
122024,Meet Antar
122025,Meet Nabet
122026,Sarsaq
122101,Nabarouh City
122102,Abstwa
122103,Afnesh
122104,El Drotin
122105,El Tibah
122106,Banoub
122107,Bahout
122108,Terwa
122109,Darin
122110,Tanbouha
122111,Tanikh
122112,Kafr El Abhar
122113,Kafr El Geneinah El Bahari
122114,Kafr El Hesah
122115,Kafr El Dakrouri
122116,Kafr Bahout
122117,Meet Ayad
122118,Nesha - Kafr El Horany & Kafr El Bashabesha
122201,Belqas City
122202,Abu Basal
122203,Abu Deshesha
122204,Abu Shereif
122205,Abu Taha
122206,El Gawadia
122207,El Hafeer & El Amal El Markazia
122208,El Kelala - Belqas Rabea Prev
122209,El Damayrah
122210,El Domeen - Belqas Thaleth Prev
122211,El Ramlah
122212,El Zahraa
122213,El Satamony
122214,El Samaheyah El Kobra
122215,El Sherka - Belqas Khames Prev
122216,El Shawami
122217,El Areed
122218,El Masara
122219,El Nashrah
122220,Basandilah
122221,Zayan
122222,Qelabshowah
122223,Kafr El Ghanamah
122224,Kafr Demlash
122225,
122226,Monshaet Shuman
122227,Monshaet Abd El Qader
122228,
122229,El Sabkhawia
122230,El Fanan
122231,El Khazendar
129999,
130101,El Harery
130102,El Hesenia
130103,El Montaza
130104,El Nahal(To Include El Mabraz)
130105,El Nezam
130106,Moawad
130107,
130201,El Ishara
130202,El Gamea
130203,El Hakma
130204,El Zakazek El Bahary
130205,El Zakazek El Kably
130206,El Saiaden
130207,El Manshya - Hassan Saleh
130208,Kafr Abd El Aziz
130209,Youssief
130301,El Bayoum
130302,El Reyad
130303,El Zankalon
130304,El Zahraa
130305,El Saada
130306,El Shabanat
130307,
130308,El Taher
130309,El Tibah
130310,El Aslogy
130311,El Elawa
130312,El Ghar
130313,El Mousalmaya
130314,El Nakhas
130315,El Nakaria
130316,Om El Zein
130317,Um El Ramad
130318,Enshas El Basal
130319,Bardein
130320,Banauos
130321,Bani Ashbl
130322,Bany Amer
130323,Abni Ayad
130324,Bahgat
130325,Bahnabay
130326,Beshet Faied
130327,Tal Howein
130328,Tal Mosmar
130329,Hod El Tarfa
130330,Deweida
130331,Sherweida
130332,
130333,Shobak Basta
130334,
130335,Sefita
130336,Tarout
130337,Tahlet Bardein
130338,Tahra Hameid
130339,Ghazalet El Khais
130340,Farsis
130341,Kafr Abaza
130342,Kafr Abo Gabal
130343,Kafr Abo Nageh
130344,Kafr Ahmed Borhom
130345,Kafr Ahmed Gobran
130346,Kafr Ahmed Saleh
130347,Kafr El Ashraf
130348,Kafr El Garaia
130349,Kafr El Hosr
130350,Kafr El Hamam
130351,Kafr El Satohaia
130352,Kafr El Shaweshaia
130353,Kafr El Halaby
130354,Kafr El Shakh Mossa Omran
130355,Kafr Dnohia
130356,Kafr Soliman Mossa
130357,
130358,Kafr Ata Allah Salama
130359,Kafr Awad Allah Hegazy
130360,Kafr Mohamed Husien
130361,Kafr Mahmoud Shaweash
130362,Kafr Mahmoud Shawesh
130363,Kafr Nawar Hana
130364,Kafr Youssief Salama
130365,Kafr Mekawy
130366,Koum El Ashraf
130367,Mashtoul El Qady
130368,
130369,Meet Abu Arabi
130370,Meet Abo Aly
130371,Meet Rakeb
130372,Meet Zafar
130373,Nashwa
130374,
130375,Kafr Gomaa
130376,Kafr Abu Hakem
130401,El Qenayat City
130501,Mania Erl Kamh
130502,Abo Tawala
130503,El Aaras
130504,El Talien
130505,El Gededa
130506,El Hamideyah
130507,El Hod El Tawel
130508,El Khors
130509,El Rabamaia
130510,El Sadaien
130511,El Sanafen El Baharaia
130512,El Sanafen El Kablaia
130513,El Azizeyah
130514,El Okda
130515,El Kobaa
130516,El Karakra
130517,El Magazer
130518,El Mohamadia
130519,El Mousaada
130520,El Maaly
130521,El Maimona
130522,El Namna
130523,El Walga
130524,Bendef
130525,Bany Hussein
130526,Bani Qoresh
130527,Bany Helal
130528,Beshet Amer
130529,Telbana
130530,Kholwa El Shaarawy
130531,
130532,Senhewat - Senhewat El bark Previous
130533,
130534,Shybra El Enab
130535,Shubra El Salam
130536,Shanshlamon
130537,Shaibet Kash
130538,Zahr Sharab
130539,
130540,Kamrona
130541,Kardeida
130542,Kafr Abo Dakn
130543,Kafr El Daer
